 	194
 сказал	151
 а	83
 и	76
 я	76
я не	73
что я	63
потому что	63
сказал я	62
 отвечал	61
 да	53
я 	46
он 	44
что он	43
 что	43
у меня	41
сказал он	41
может быть	41
и я	40
максим максимыч	36
и не	34
 вы	34
на меня	34
что она	33
я ему	31
 не	31
ничего не	31
ко мне	30
если б	28
 спросил	28
он был	26
у него	24
я был	24
в самом	24
что ты	23
что вы	23
 сказала	23
но я	23
 как	22
отвечал он	22
 ты	22
спросил я	22
самом деле	22
никогда не	22
 в	21
отвечал я	21
меня не	21
не мог	21
не было	21
все что	21
что это	21
она не	20
как я	20
между тем	20
он не	20
григорий александрович	20
не знаю	19
в этом	19
когда я	19
я вам	19
что ж	19
сказала она	19
 нет	19
а что	18
 это	18
и в	17
все это	17
мне в	17
в эту	17
 он	17
 закричал	17
с вами	17
как будто	16
с ним	16
тех пор	16
она мне	16
с нею	16
с тех	16
 она	16
 только	16
 ну	16
и мы	16
к нему	16
 все	15
да и	15
я стал	15
ему 	15
и сказал	15
 продолжал	15
что за	15
подумал я	14
я думаю	14
меня в	14
эту минуту	14
то есть	14
на его	14
 подумал	14
 говорил	14
ли я	14
и она	14
она была	14
подошел к	14
он мне	14
у них	14
 мы	13
а я	13
несмотря на	13
ее не	13
я с	13
да я	13
и он	13
к ней	13
 прибавил	13
прибавил он	13
я его	13
на нее	13
грушницкий 	13
то я	13
за что	13
 у	13
то что	13
что в	13
мне стало	13
франц 	13
я вас	13
и стал	13
только не	13
она 	13
не может	12
за руку	12
 мне	12
меня 	12
когда он	12
вовсе не	12
и что	12
доктор 	12
руку и	12
вы меня	12
на него	12
 ведь	12
и мне	12
никто не	12
что не	12
уж не	12
первый раз	11
я в	11
так что	11
я подошел	11
я ее	11
и с	11
в первый	11
я так	11
обо мне	11
 вот	11
я ей	11
на свете	11
мы с	11
мне не	11
го июня	11
не видал	11
ты не	11
я все	10
что на	10
его за	10
с ними	10
не то	10
 послушай	10
что они	10
за ним	10
этого не	10
было бы	10
том что	10
еще не	10
у вас	10
вы мне	10
 на	10
я видел	10
заметил что	10
я бы	10
и тогда	10
из тех	10
правда ли	10
один из	10
пор как	10
что мы	10
что мне	10
у нас	10
если вы	9
и к	9
в это	9
не правда	9
в крепость	9
у колодца	9
крайней мере	9
как вы	9
я велел	9
что у	9
драгунский капитан	9
мне 	9
когда она	9
но она	9
мне было	9
он меня	9
на другой	9
меня и	9
я никогда	9
в ее	9
раза два	9
у окна	9
это было	9
ну что	9
это 	9
печорин 	9
о том	9
и если	9
только что	9
меня за	9
 или	9
мне и	9
я мог	9
 но	9
максимыч 	9
капитан 	9
по крайней	9
со мною	9
однако ж	9
и вот	8
я слышал	8
больше не	8
не будет	8
я и	8
мне на	8
а вы	8
бог знает	8
 хорошо	8
вы думаете	8
и так	8
и точно	8
за нею	8
на кавказе	8
на шею	8
 теперь	8
и на	8
я должен	8
на все	8
так и	8
и начал	8
а если	8
за это	8
его 	8
что с	8
и все	8
я пошел	8
 если	8
я могу	8
в окно	8
ну да	8
максима максимыча	8
как она	8
на лице	8
тогда как	8
и как	8
для меня	8
меня на	8
это время	8
посмотрел на	8
я тебе	8
в глаза	8
к чему	8
вам не	8
я буду	8
б я	8
но в	8
как он	8
каждый день	7
с княжной	7
что если	7
на краю	7
после этого	7
во мне	7
в крепости	7
видите ли	7
между ними	7
 отчего	7
мне показалось	7
 господа	7
 о	7
ли вы	7
я думал	7
против меня	7
тому назад	7
проходя мимо	7
мы не	7
во все	7
несколько минут	7
отчего же	7
в том	7
 уж	7
ни за	7
я хочу	7
го мая	7
я узнал	7
я у	7
вы не	7
что было	7
ни одного	7
как мы	7
 отвечала	7
я имел	7
это не	7
я невольно	7
княжна мери	7
ему в	7
 разве	7
в их	7
только в	7
глаза ее	7
а не	7
я тебя	7
вот что	7
не люблю	7
таким образом	7
на водку	7
не в	7
руку 	7
я встретил	7
но что	7
что 	7
я знаю	7
ее 	7
как все	7
на нем	7
на дворе	7
глаза и	7
как можно	7
я всегда	7
голову на	7
на земле	7
и наконец	7
уверен что	7
те же	7
я на	7
его в	7
отвечала она	7
со мной	7
через час	6
и вперед	6
как это	6
на минуту	6
а как	6
никого не	6
у тебя	6
во всем	6
и потом	6
азамат 	6
казбич 	6
оттого что	6
княгиня лиговская	6
хотите ли	6
 ничего	6
ее с	6
и ты	6
на грудь	6
ни слова	6
но он	6
не могу	6
ему на	6
чтоб не	6
из крепости	6
жаль что	6
 зачем	6
и вдруг	6
за мной	6
вы хотите	6
 был	6
другой день	6
жизни и	6
что же	6
я уж	6
я долго	6
сидела на	6
закричал я	6
знаю что	6
вместе с	6
того чтоб	6
их не	6
я остановился	6
а ты	6
его не	6
ведь вы	6
они не	6
я ни	6
тебя 	6
вы сами	6
в ущелье	6
об этом	6
мы были	6
по комнате	6
боже мой	6
в этот	6
познакомиться с	6
до сих	6
я сел	6
по временам	6
для тебя	6
 то	6
ее руку	6
взад и	6
а вот	6
сих пор	6
нет 	6
ее в	6
от него	6
ни одной	6
на вершине	6
только я	6
в его	6
уж я	6
чтоб я	6
я отвечал	6
я люблю	6
в душе	6
я заметил	6
для себя	6
его и	6
не хочу	6
что княжна	6
я начал	6
очень важно	6
у нее	6
в моих	6
ли 	6
я ничего	6
 так	6
штабс-капитан 	6
раз как	6
с грушницким	6
все 	6
целый день	6
отвечал что	6
не был	6
голосом 	6
я хотел	6
друг друга	6
из них	6
люблю я	6
мы расстались	6
и может	6
и вероятно	5
как вдруг	5
да не	5
очень рад	5
два часа	5
можно было	5
и только	5
вот как	5
в москве	5
на том	5
не знает	5
мне руку	5
для того	5
быть я	5
на то	5
было темно	5
на стол	5
ни на	5
ни о	5
 напротив	5
некоторого молчания	5
а мне	5
всех сторон	5
к княгине	5
на них	5
я им	5
я их	5
 ни	5
на берег	5
в один	5
то и	5
после некоторого	5
я дал	5
нашего времени	5
правда 	5
на ее	5
 вам	5
и вышел	5
продолжал он	5
цвет лица	5
всякий раз	5
и между	5
вряд ли	5
тут он	5
с этой	5
грушницкого 	5
после обеда	5
что такое	5
я любил	5
по столу	5
показалось что	5
в сторону	5
его я	5
у ворот	5
я к	5
разговор 	5
вас не	5
несколько раз	5
даже не	5
в лодку	5
нечего делать	5
было что-то	5
ли это	5
чуть-чуть не	5
в глазах	5
уж был	5
в них	5
объявил что	5
а там	5
ли он	5
я только	5
все в	5
меня есть	5
от нее	5
в петербурге	5
если ты	5
в моей	5
на это	5
слепой 	5
между нами	5
с собой	5
к окну	5
человека и	5
бэла 	5
вы 	5
на водах	5
а кто	5
нынче поутру	5
вот мы	5
наконец мы	5
должен был	5
она сидела	5
от своей	5
меня с	5
со всех	5
и тут	5
что печорин	5
минуты когда	5
он на	5
мог бы	5
мне я	5
меня я	5
за княжной	5
она с	5
слава богу	5
с ней	5
молодой человек	5
не так	5
мою душу	5
ли что	5
это меня	5
 говорила	5
вы может	5
я еще	5
тебя люблю	5
в ней	5
знаешь ли	5
княжна 	5
так же	5
от этого	5
для вас	5
ближе и	5
посмотрела на	5
теперь я	5
она посмотрела	5
о чем	5
через несколько	5
вера 	5
если я	5
в продолжение	5
сказал мне	5
уверена что	5
давно уж	5
 печорин	5
покачала головой	5
однако я	5
отвечал мне	5
на ней	5
а потом	5
а уж	5
я уверен	5
и пошел	5
еще с	5
в этой	5
передо мною	5
ты будешь	5
но только	5
почему я	5
не хотел	5
продолжал я	5
мы знаем	5
должно быть	5
и по	5
бы мне	5
о я	5
из нас	5
в своей	5
мне все	5
только он	5
 разумеется	5
говоря что	5
в груди	5
сказал 	5
не хотите	5
говорил я	5
зачем же	5
от них	5
в нем	5
думаете что	5
я вышел	5
как на	5
опустив голову	5
и бросился	4
чтоб ты	4
камень и	4
тем более	4
ж я	4
было много	4
грушницкий стоял	4
господа 	4
да что	4
спросил он	4
мы и	4
вот он	4
все так	4
покраснела и	4
ли она	4
которого я	4
часов вечера	4
знаешь что	4
не любит	4
это значит	4
она как	4
но мне	4
говорил что	4
 правда	4
и то	4
ее лицо	4
 господин	4
не менее	4
быть не	4
она начала	4
сказал кто-то	4
указывая на	4
угодно 	4
возле него	4
на землю	4
 неужели	4
григорью александровичу	4
под руку	4
бы на	4
ни разу	4
грушницкому 	4
она у	4
не стоит	4
я ехал	4
в воду	4
а право	4
в толпе	4
тот же	4
видел как	4
сидели на	4
 может	4
он стал	4
я чувствовал	4
в таком	4
этот раз	4
совсем не	4
 году	4
но не	4
сказать что	4
их 	4
а то	4
не должна	4
в горы	4
минуту я	4
герой нашего	4
я умру	4
пожалуйста не	4
знаете что	4
я вовсе	4
лошадь и	4
 помилуйте	4
дело 	4
есть ли	4
в другую	4
мне кажется	4
а у	4
другую комнату	4
я за	4
ее на	4
я что	4
до самого	4
 наконец	4
 кричал	4
если бы	4
выстрел раздался	4
вот я	4
я остался	4
до безумия	4
в чем	4
как в	4
так я	4
на постель	4
закрыл глаза	4
голос 	4
и объявил	4
в своем	4
продолжал 	4
он в	4
нет я	4
не умеет	4
не помню	4
не отвечал	4
глядя на	4
бы не	4
все эти	4
мимо меня	4
то же	4
но теперь	4
я раз	4
что меня	4
душе моей	4
и есть	4
к счастью	4
 меня	4
 потому	4
в залу	4
на самом	4
 кто	4
надо вам	4
на шести	4
на моем	4
улыбаясь 	4
у забора	4
стакан чая	4
он посмотрел	4
не понимаю	4
 однако	4
слезы 	4
 никогда	4
не спал	4
мимо окон	4
меня к	4
груди моей	4
мой друг	4
будто не	4
я нашел	4
что случилось	4
ее у	4
знаю 	4
что ни	4
солдатская шинель	4
один и	4
мысли что	4
в голову	4
мы будем	4
вы верно	4
с негодованием	4
наконец я	4
 скажи	4
верхом и	4
что бы	4
 конечно	4
она его	4
 доктор	4
сел у	4
ее к	4
мы пошли	4
и вы	4
все на	4
с криком	4
как ни	4
был ответ	4
у княгини	4
сказал грушницкий	4
его знает	4
и прочее	4
так 	4
лицо его	4
 воскликнул	4
ни один	4
один голос	4
а он	4
надо мною	4
вам сказать	4
же 	4
 оттого	4
княжны и	4
делать я	4
я до	4
 ах	4
две минуты	4
не совсем	4
так уж	4
значит 	4
когда мы	4
мазурку 	4
не должно	4
он взял	4
хотя в	4
же самое	4
в кисловодск	4
пять лет	4
он и	4
вышел из	4
да 	4
